Review,Liked,CleanData,Summary,Arabic,Sentiment,root,price,service,food
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,"['Great', 'place', 'couple', 'drinks', 'watch', 'sporting', 'events', 'walls', 'covered', 'TVs']",Great place couple drinks watch sporting events walls covered TVs,,positive,great place coupl drink watch sport event wall cover tv,,great ,
"If it were possible to give them zero stars, they'd have it.",0,"['If', 'possible', 'give', 'zero', 'stars', 'theyd']",If possible give zero stars theyd,,neutral,if possibl give zero star theyd,,,
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,"['The', 'descriptions', 'said', 'yum', 'yum', 'sauce', 'another', 'said', 'eel', 'sauce', 'yet', 'another', 'said', 'spicy', 'mayowell', 'NONE', 'rolls', 'sauces']",The descriptions said yum yum sauce another said eel sauce yet another said spicy mayowell  rolls sauces,,neutral,the descript said yum yum sauc anoth said eel sauc yet anoth said spici mayowel none roll sauc,,,spici 
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,"['Id', 'say', 'would', 'hardest', 'decision', 'Honestly', 'Ms', 'dishes', 'taste', 'supposed', 'taste', 'amazing']",Id say would hardest decision Honestly Ms dishes taste supposed taste amazing,,positive,id say would hardest decis honestli ms dish tast suppos tast amaz,,,amaz 
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,"['If', 'not', 'rolled', 'eyes', 'may', 'stayed', 'Not', 'sure', 'go', 'back', 'try']",If not rolled eyes may stayed Not sure go back try,,negative,if not roll eye may stay not sure go back tri,,,
"Everyone is very attentive, providing excellent customer service.",1,"['Everyone', 'attentive', 'providing', 'excellent', 'customer', 'service']",Everyone attentive providing excellent customer service,,positive,everyon attent provid excel custom servic,,attent ,
Horrible - don't waste your time and money.,0,"['Horrible', 'dont', 'waste', 'time', 'money']",Horrible dont waste time money,,negative,horribl dont wast time money,,time ,
Now this dish was quite flavourful.,1,"['Now', 'dish', 'quite', 'flavourful']",Now dish quite flavourful,,neutral,now dish quit flavour,,,
By this time our side of the restaurant was almost empty so there was no excuse.,0,"['By', 'time', 'side', 'restaurant', 'almost', 'empty', 'no', 'excuse']",By time side restaurant almost empty no excuse,,negative,by time side restaur almost empti no excus,,time ,
"(It wasn't busy either) Also, the building was FREEZING cold.",0,"['It', 'wasnt', 'busy', 'either', 'Also', 'building', 'FREEZING', 'cold']",It wasnt busy either Also building  cold,,negative,it wasnt busi either also build freez cold,,,cold 
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,"['like', 'reviewer', 'said', 'couldnt', 'pay', 'eat', 'place']",like reviewer said couldnt pay eat place,,negative,like review said couldnt pay eat place,,,
-Drinks took close to 30 minutes to come out at one point.,0,"['Drinks', 'took', 'close', '30', 'minutes', 'come', 'one', 'point']",Drinks took close  minutes come one point,,neutral,drink took close 30 minut come one point,,,
"Seriously flavorful delights, folks.",1,"['Seriously', 'flavorful', 'delights', 'folks']",Seriously flavorful delights folks,,negative,serious flavor delight folk,delight ,,flavor 
Much better than the other AYCE sushi place I went to in Vegas.,1,"['Much', 'better', 'AYCE', 'sushi', 'place', 'I', 'went', 'Vegas']",Much better  sushi place  went Vegas,,positive,much better ayc sushi place i went vega,,,
The lighting is just dark enough to set the mood.,1,"['The', 'lighting', 'dark', 'enough', 'set', 'mood']",The lighting dark enough set mood,,negative,the light dark enough set mood,,,
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,"['Based', 'subpar', 'service', 'I', 'received', 'no', 'effort', 'show', 'gratitude', 'business', 'I', 'wont', 'going', 'back']",Based subpar service  received no effort show gratitude business  wont going back,,neutral,base subpar servic i receiv no effort show gratitud busi i wont go back,subpar ,,
Owner's are really great people.!,1,"['Owners', 'really', 'great', 'people']",Owners really great people,,positive,owner realli great peopl,,great ,
There is nothing privileged about working/eating there.,0,"['There', 'nothing', 'privileged', 'workingeating']",There nothing privileged workingeating,,neutral,there noth privileg working,,,
The Greek dressing was very creamy and flavorful.,1,"['The', 'Greek', 'dressing', 'creamy', 'flavorful']",The Greek dressing creamy flavorful,,positive,the greek dress creami flavor,,,creami flavor 
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,"['Overall', 'I', 'dont', 'think', 'I', 'would', 'take', 'parents', 'place', 'made', 'similar', 'complaints', 'I', 'silently', 'felt']",Overall  dont think  would take parents place made similar complaints  silently felt,,positive,overal i dont think i would take parent place made similar complaint i silent felt,,,
Now the pizza itself was good the peanut sauce was very tasty.,1,"['Now', 'pizza', 'good', 'peanut', 'sauce', 'tasty']",Now pizza good peanut sauce tasty,,positive,now pizza good peanut sauc tasti,,,tasti 
We had 7 at our table and the service was pretty fast.,1,"['We', '7', 'table', 'service', 'pretty', 'fast']",We  table service pretty fast,,positive,we 7 tabl servic pretti fast,,fast ,
Fantastic service here.,1,"['Fantastic', 'service']",Fantastic service,,positive,fantast servic,,,
I as well would've given godfathers zero stars if possible.,0,"['I', 'well', 'wouldve', 'given', 'godfathers', 'zero', 'stars', 'possible']",well wouldve given godfathers zero stars possible,,neutral,i well wouldv given godfath zero star possibl,,,
They know how to make them here.,1,"['They', 'know', 'make']",They know make,,neutral,they know make,,,
very tough and very short on flavor!,0,"['tough', 'short', 'flavor']",tough short flavor,,negative,tough short flavor,,,tough flavor 
I hope this place sticks around.,1,"['I', 'hope', 'place', 'sticks', 'around']",hope place sticks around,,neutral,i hope place stick around,,,
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,"['I', 'bars', 'Vegas', 'not', 'ever', 'recall', 'charged', 'tap', 'water']",bars Vegas not ever recall charged tap water,,positive,i bar vega not ever recal charg tap water,,,
The restaurant atmosphere was exquisite.,1,"['The', 'restaurant', 'atmosphere', 'exquisite']",The restaurant atmosphere exquisite,,positive,the restaur atmospher exquisit,,,
"Good service, very clean, and inexpensive, to boot!",1,"['Good', 'service', 'clean', 'inexpensive', 'boot']",Good service clean inexpensive boot,,positive,good servic clean inexpens boot,,clean ,
The seafood was fresh and generous in portion.,1,"['The', 'seafood', 'fresh', 'generous', 'portion']",The seafood fresh generous portion,,positive,the seafood fresh gener portion,,,fresh 
"Plus, it's only 8 bucks.",1,"['Plus', '8', 'bucks']",Plus  bucks,,neutral,plu 8 buck,,,
"The service was not up to par, either.",0,"['The', 'service', 'not', 'par', 'either']",The service not par either,,neutral,the servic not par either,,,
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,"['Thus', 'far', 'visited', 'twice', 'food', 'absolutely', 'delicious', 'time']",Thus far visited twice food absolutely delicious time,,positive,thu far visit twice food absolut delici time,,time ,delici 
Just as good as when I had it more than a year ago!,1,"['Just', 'good', 'I', 'year', 'ago']",Just good  year ago,,positive,just good i year ago,,,
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,"['For', 'self', 'proclaimed', 'coffee', 'cafe', 'I', 'wildly', 'disappointed']",For self proclaimed coffee cafe  wildly disappointed,,negative,for self proclaim coffe cafe i wildli disappoint,,,
The Veggitarian platter is out of this world!,1,"['The', 'Veggitarian', 'platter', 'world']",The Veggitarian platter world,,neutral,the veggitarian platter world,,,
You cant go wrong with any of the food here.,1,"['You', 'cant', 'go', 'wrong', 'food']",You cant go wrong food,,negative,you cant go wrong food,,,
You can't beat that.,1,"['You', 'cant', 'beat']",You cant beat,,neutral,you cant beat,,,
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,"['Stopped', 'place', 'Madison', 'Ironman', 'friendly', 'kind', 'staff']",Stopped place Madison Ironman friendly kind staff,,positive,stop place madison ironman friendli kind staff,,kind ,
The chefs were friendly and did a good job.,1,"['The', 'chefs', 'friendly', 'good', 'job']",The chefs friendly good job,,positive,the chef friendli good job,,,
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,"['Ive', 'better', 'not', 'dedicated', 'boba', 'tea', 'spots', 'even', 'Jenni', 'Pho']",Ive better not dedicated boba tea spots even Jenni Pho,,positive,ive better not dedic boba tea spot even jenni pho,,,
I liked the patio and the service was outstanding.,1,"['I', 'liked', 'patio', 'service', 'outstanding']",liked patio service outstanding,,positive,i like patio servic outstand,,,
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,"['The', 'goat', 'taco', 'didnt', 'skimp', 'meat', 'wow', 'FLAVOR']",The goat taco didnt skimp meat wow,,positive,the goat taco didnt skimp meat wow flavor,,,flavor 
I think not again,0,"['I', 'think', 'not']",think not,,neutral,i think not,,,
I had the mac salad and it was pretty bland so I will not be getting that again.,0,"['I', 'mac', 'salad', 'pretty', 'bland', 'I', 'not', 'getting']",mac salad pretty bland  not getting,,positive,i mac salad pretti bland i not get,,,bland 
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,"['I', 'went', 'Bachi', 'Burger', 'friends', 'recommendation', 'not', 'disappointed']",went Bachi Burger friends recommendation not disappointed,,positive,i went bachi burger friend recommend not disappoint,,friend ,recommend 
Service stinks here!,0,"['Service', 'stinks']",Service stinks,,negative,servic stink,,,
I waited and waited.,0,"['I', 'waited', 'waited']",waited waited,,neutral,i wait wait,,wait wait ,
"This place is not quality sushi, it is not a quality restaurant.",0,"['This', 'place', 'not', 'quality', 'sushi', 'not', 'quality', 'restaurant']",This place not quality sushi not quality restaurant,,neutral,thi place not qualiti sushi not qualiti restaur,,,
I would definitely recommend the wings as well as the pizza.,1,"['I', 'would', 'definitely', 'recommend', 'wings', 'well', 'pizza']",would definitely recommend wings well pizza,,neutral,i would definit recommend wing well pizza,,,recommend 
Great Pizza and Salads!,1,"['Great', 'Pizza', 'Salads']",Great Pizza Salads,,positive,great pizza salad,,great ,
Things that went wrong: - They burned the saganaki.,0,"['Things', 'went', 'wrong', 'They', 'burned', 'saganaki']",Things went wrong They burned saganaki,,negative,thing went wrong they burn saganaki,,,
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,"['We', 'waited', 'hour', 'breakfast', 'I', 'could', 'done', '100', 'times', 'better', 'home']",We waited hour breakfast  could done  times better home,,positive,we wait hour breakfast i could done 100 time better home,,wait time ,
This place is amazing!,1,"['This', 'place', 'amazing']",This place amazing,,positive,thi place amaz,,,amaz 
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,"['I', 'hate', 'disagree', 'fellow', 'Yelpers', 'husband', 'I', 'disappointed', 'place']",hate disagree fellow Yelpers husband  disappointed place,,negative,i hate disagre fellow yelper husband i disappoint place,,,
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,"['Waited', '2', 'hours', 'never', 'got', 'either', 'pizzas', 'many', 'around', 'us', 'came', 'later']",Waited  hours never got either pizzas many around us came later,,positive,wait 2 hour never got either pizza mani around us came later,,wait ,
Just don't know why they were so slow.,0,"['Just', 'dont', 'know', 'slow']",Just dont know slow,,negative,just dont know slow,,slow ,
"The staff is great, the food is delish, and they have an incredible beer selection.",1,"['The', 'staff', 'great', 'food', 'delish', 'incredible', 'beer', 'selection']",The staff great food delish incredible beer selection,,positive,the staff great food delish incred beer select,,great ,
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,"['I', 'live', 'neighborhood', 'I', 'disappointed', 'I', 'wont', 'back', 'convenient', 'location']",live neighborhood  disappointed  wont back convenient location,,negative,i live neighborhood i disappoint i wont back conveni locat,,,
I didn't know pulled pork could be soooo delicious.,1,"['I', 'didnt', 'know', 'pulled', 'pork', 'could', 'soooo', 'delicious']",didnt know pulled pork could soooo delicious,,positive,i didnt know pull pork could soooo delici,,,delici 
"You get incredibly fresh fish, prepared with care.",1,"['You', 'get', 'incredibly', 'fresh', 'fish', 'prepared', 'care']",You get incredibly fresh fish prepared care,,positive,you get incred fresh fish prepar care,,,fresh 
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,"['Before', 'I', 'go', 'I', 'gave', '1', 'star', 'rating', 'please', 'know', 'third', 'time', 'eating', 'Bachi', 'burger', 'writing', 'review']",Before  go  gave  star rating please know third time eating Bachi burger writing review,,neutral,befor i go i gave 1 star rate pleas know third time eat bachi burger write review,,time ,
I love the fact that everything on their menu is worth it.,1,"['I', 'love', 'fact', 'everything', 'menu', 'worth']",love fact everything menu worth,,positive,i love fact everyth menu worth,,,
Never again will I be dining at this place!,0,"['Never', 'I', 'dining', 'place']",Never  dining place,,neutral,never i dine place,,,
The food was excellent and service was very good.,1,"['The', 'food', 'excellent', 'service', 'good']",The food excellent service good,,positive,the food excel servic good,,,
Good beer & drink selection and good food selection.,1,"['Good', 'beer', 'drink', 'selection', 'good', 'food', 'selection']",Good beer drink selection good food selection,,positive,good beer drink select good food select,,,
Please stay away from the shrimp stir fried noodles.,0,"['Please', 'stay', 'away', 'shrimp', 'stir', 'fried', 'noodles']",Please stay away shrimp stir fried noodles,,neutral,pleas stay away shrimp stir fri noodl,,,
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,"['The', 'potato', 'chip', 'order', 'sad', 'I', 'could', 'probably', 'count', 'many', 'chips', 'box', 'probably', 'around', '12']",The potato chip order sad  could probably count many chips box probably around,,neutral,the potato chip order sad i could probabl count mani chip box probabl around 12,,,
Food was really boring.,0,"['Food', 'really', 'boring']",Food really boring,,negative,food realli bore,,,
Good Service-check!,1,"['Good', 'Servicecheck']",Good Servicecheck,,positive,good servicecheck,,,
This greedy corporation will NEVER see another dime from me!,0,"['This', 'greedy', 'corporation', 'NEVER', 'see', 'another', 'dime']",This greedy corporation  see another dime,,neutral,thi greedi corpor never see anoth dime,,,
"Will never, ever go back.",0,"['Will', 'never', 'ever', 'go', 'back']",Will never ever go back,,neutral,will never ever go back,,,
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,"['As', 'much', 'Id', 'like', 'go', 'back', 'I', 'cant', 'get', 'passed', 'atrocious', 'service', 'never', 'return']",As much Id like go back  cant get passed atrocious service never return,,negative,as much id like go back i cant get pass atroci servic never return,,,
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,"['In', 'summer', 'dine', 'charming', 'outdoor', 'patio', 'delightful']",In summer dine charming outdoor patio delightful,,positive,in summer dine charm outdoor patio delight,charm delight ,,
I did not expect this to be so good!,1,"['I', 'not', 'expect', 'good']",not expect good,,positive,i not expect good,,,
Fantastic food!,1,"['Fantastic', 'food']",Fantastic food,,positive,fantast food,,,
She ordered a toasted English muffin that came out untoasted.,0,"['She', 'ordered', 'toasted', 'English', 'muffin', 'came', 'untoasted']",She ordered toasted English muffin came untoasted,,neutral,she order toast english muffin came untoast,,,
The food was very good.,1,"['The', 'food', 'good']",The food good,,positive,the food good,,,
Never going back.,0,"['Never', 'going', 'back']",Never going back,,neutral,never go back,,,
"Great food for the price, which is very high quality and house made.",1,"['Great', 'food', 'price', 'high', 'quality', 'house', 'made']",Great food price high quality house made,,positive,great food price high qualiti hous made,,great ,
The bus boy on the other hand was so rude.,0,"['The', 'bus', 'boy', 'hand', 'rude']",The bus boy hand rude,,negative,the bu boy hand rude,,rude ,
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,"['By', 'point', 'friends', 'I', 'basically', 'figured', 'place', 'joke', 'didnt', 'mind', 'making', 'publicly', 'loudly', 'known']",By point friends  basically figured place joke didnt mind making publicly loudly known,,positive,by point friend i basic figur place joke didnt mind make publicli loudli known,basic ,friend ,
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,"['Back', 'good', 'BBQ', 'lighter', 'fare', 'reasonable', 'pricing', 'tell', 'public', 'back', 'old', 'ways']",Back good  lighter fare reasonable pricing tell public back old ways,,positive,back good bbq lighter fare reason price tell public back old way,,,
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,"['And', 'considering', 'two', 'us', 'left', 'full', 'happy', '20', 'cant', 'go', 'wrong']",And considering two us left full happy  cant go wrong,,positive,and consid two us left full happi 20 cant go wrong,happi ,,
All the bread is made in-house!,1,"['All', 'bread', 'made', 'inhouse']",All bread made inhouse,,neutral,all bread made inhous,,,
The only downside is the service.,0,"['The', 'downside', 'service']",The downside service,,neutral,the downsid servic,,,
"Also, the fries are without a doubt the worst fries I've ever had.",0,"['Also', 'fries', 'without', 'doubt', 'worst', 'fries', 'Ive', 'ever']",Also fries without doubt worst fries Ive ever,,negative,also fri without doubt worst fri ive ever,,worst ,
Service was exceptional and food was a good as all the reviews.,1,"['Service', 'exceptional', 'food', 'good', 'reviews']",Service exceptional food good reviews,,positive,servic except food good review,,,
"A couple of months later, I returned and had an amazing meal.",1,"['A', 'couple', 'months', 'later', 'I', 'returned', 'amazing', 'meal']",couple months later  returned amazing meal,,positive,a coupl month later i return amaz meal,,,amaz 
Favorite place in town for shawarrrrrrma!!!!!!,1,"['Favorite', 'place', 'town', 'shawarrrrrrma']",Favorite place town shawarrrrrrma,,positive,favorit place town shawarrrrrrma,,,
The black eyed peas and sweet potatoes... UNREAL!,1,"['The', 'black', 'eyed', 'peas', 'sweet', 'potatoes', 'UNREAL']",The black eyed peas sweet potatoes,,positive,the black eye pea sweet potato unreal,,,sweet 
You won't be disappointed.,1,"['You', 'wont', 'disappointed']",You wont disappointed,,negative,you wont disappoint,,,
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,"['They', 'could', 'serve', 'vinaigrette', 'may', 'make', 'better', 'overall', 'dish', 'still', 'good']",They could serve vinaigrette may make better overall dish still good,,positive,they could serv vinaigrett may make better overal dish still good,,,
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,"['I', 'go', 'far', 'many', 'places', 'Ive', 'never', 'seen', 'restaurant', 'serves', '1', 'egg', 'breakfast', 'especially', '400']",go far many places Ive never seen restaurant serves  egg breakfast especially,,positive,i go far mani place ive never seen restaur serv 1 egg breakfast especi 400,,,
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,"['When', 'mom', 'I', 'got', 'home', 'immediately', 'got', 'sick', 'bites', 'salad']",When mom  got home immediately got sick bites salad,,negative,when mom i got home immedi got sick bite salad,,,sick 
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,"['The', 'servers', 'not', 'pleasant', 'deal', 'dont', 'always', 'honor', 'Pizza', 'Hut', 'coupons']",The servers not pleasant deal dont always honor Pizza Hut coupons,,negative,the server not pleasant deal dont alway honor pizza hut coupon,pleasant ,,
"Both of them were truly unbelievably good, and I am so glad we went back.",1,"['Both', 'truly', 'unbelievably', 'good', 'I', 'glad', 'went', 'back']",Both truly unbelievably good  glad went back,,positive,both truli unbeliev good i glad went back,,,
"We had fantastic service, and were pleased by the atmosphere.",1,"['We', 'fantastic', 'service', 'pleased', 'atmosphere']",We fantastic service pleased atmosphere,,positive,we fantast servic pleas atmospher,,,
Everything was gross.,0,"['Everything', 'gross']",Everything gross,,neutral,everyth gross,,,
I love this place.,1,"['I', 'love', 'place']",love place,,positive,i love place,,,
Great service and food.,1,"['Great', 'service', 'food']",Great service food,,positive,great servic food,,great ,
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,"['First', 'bathrooms', 'location', 'dirty', 'Seat', 'covers', 'not', 'replenished', 'plain', 'yucky']",First bathrooms location dirty Seat covers not replenished plain yucky,,negative,first bathroom locat dirti seat cover not replenish plain yucki,,,yucki 
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,"['The', 'burger', 'I', 'got', 'Gold', 'Standard', '17', 'burger', 'kind', 'disappointed']",The burger  got Gold Standard  burger kind disappointed,,negative,the burger i got gold standard 17 burger kind disappoint,standard ,kind ,
"OMG, the food was delicioso!",1,"['OMG', 'food', 'delicioso']",food delicioso,,neutral,omg food delicioso,,,
There is nothing authentic about this place.,0,"['There', 'nothing', 'authentic', 'place']",There nothing authentic place,,positive,there noth authent place,,,authent 
the spaghetti is nothing special whatsoever.,0,"['spaghetti', 'nothing', 'special', 'whatsoever']",spaghetti nothing special whatsoever,,positive,spaghetti noth special whatsoev,,,
"Of all the dishes, the salmon was the best, but all were great.",1,"['Of', 'dishes', 'salmon', 'best', 'great']",Of dishes salmon best great,,positive,of dish salmon best great,,great ,
The vegetables are so fresh and the sauce feels like authentic Thai.,1,"['The', 'vegetables', 'fresh', 'sauce', 'feels', 'like', 'authentic', 'Thai']",The vegetables fresh sauce feels like authentic Thai,,positive,the veget fresh sauc feel like authent thai,,,fresh authent 
It's worth driving up from Tucson!,1,"['Its', 'worth', 'driving', 'Tucson']",Its worth driving Tucson,,positive,it worth drive tucson,,,
The selection was probably the worst I've seen in Vegas.....there was none.,0,"['The', 'selection', 'probably', 'worst', 'Ive', 'seen', 'Vegasthere', 'none']",The selection probably worst Ive seen Vegasthere none,,negative,the select probabl worst ive seen vegasther none,,worst ,
Pretty good beer selection too.,1,"['Pretty', 'good', 'beer', 'selection']",Pretty good beer selection,,positive,pretti good beer select,,,
"This place is like Chipotle, but BETTER.",1,"['This', 'place', 'like', 'Chipotle', 'BETTER']",This place like Chipotle,,positive,thi place like chipotl better,,,
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,"['Classywarm', 'atmosphere', 'fun', 'fresh', 'appetizers', 'succulent', 'steaks', 'Baseball', 'steak']",Classywarm atmosphere fun fresh appetizers succulent steaks Baseball steak,,positive,classywarm atmospher fun fresh appet succul steak basebal steak,,,fresh appet 
5 stars for the brick oven bread app!,1,"['5', 'stars', 'brick', 'oven', 'bread', 'app']",stars brick oven bread app,,neutral,5 star brick oven bread app,,,
"I have eaten here multiple times, and each time the food was delicious.",1,"['I', 'eaten', 'multiple', 'times', 'time', 'food', 'delicious']",eaten multiple times time food delicious,,positive,i eaten multipl time time food delici,,time time ,delici 
We sat another ten minutes and finally gave up and left.,0,"['We', 'sat', 'another', 'ten', 'minutes', 'finally', 'gave', 'left']",We sat another ten minutes finally gave left,,neutral,we sat anoth ten minut final gave left,,,
He was terrible!,0,"['He', 'terrible']",He terrible,,negative,he terribl,,,
Everyone is treated equally special.,1,"['Everyone', 'treated', 'equally', 'special']",Everyone treated equally special,,positive,everyon treat equal special,,,
It shouldn't take 30 min for pancakes and eggs.,0,"['It', 'shouldnt', 'take', '30', 'min', 'pancakes', 'eggs']",It shouldnt take  min pancakes eggs,,neutral,it shouldnt take 30 min pancak egg,,,
It was delicious!!!,1,"['It', 'delicious']",It delicious,,positive,it delici,,,delici 
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,"['On', 'good', 'side', 'staff', 'genuinely', 'pleasant', 'enthusiastic', 'real', 'treat']",On good side staff genuinely pleasant enthusiastic real treat,,positive,on good side staff genuin pleasant enthusiast real treat,pleasant ,,
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,"['Sadly', 'Gordon', 'Ramseys', 'Steak', 'place', 'shall', 'sharply', 'avoid', 'next', 'trip', 'Vegas']",Sadly Gordon Ramseys Steak place shall sharply avoid next trip Vegas,,negative,sadli gordon ramsey steak place shall sharpli avoid next trip vega,,,
As always the evening was wonderful and the food delicious!,1,"['As', 'always', 'evening', 'wonderful', 'food', 'delicious']",As always evening wonderful food delicious,,positive,as alway even wonder food delici,,,delici 
Best fish I've ever had in my life!,1,"['Best', 'fish', 'Ive', 'ever', 'life']",Best fish Ive ever life,,positive,best fish ive ever life,,,
(The bathroom is just next door and very nice.),1,"['The', 'bathroom', 'next', 'door', 'nice']",The bathroom next door nice,,positive,the bathroom next door nice,,,
The buffet is small and all the food they offered was BLAND.,0,"['The', 'buffet', 'small', 'food', 'offered', 'BLAND']",The buffet small food offered,,negative,the buffet small food offer bland,,,bland 
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,"['This', 'Outstanding', 'little', 'restaurant', 'Best', 'Food', 'I', 'ever', 'tasted']",This Outstanding little restaurant Best Food  ever tasted,,positive,thi outstand littl restaur best food i ever tast,,,
Pretty cool I would say.,1,"['Pretty', 'cool', 'I', 'would', 'say']",Pretty cool  would say,,positive,pretti cool i would say,,,
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,"['Definitely', 'turn', 'doubt', 'Ill', 'back', 'unless', 'someone', 'else', 'buying']",Definitely turn doubt Ill back unless someone else buying,,neutral,definit turn doubt ill back unless someon els buy,,,
Server did a great job handling our large rowdy table.,1,"['Server', 'great', 'job', 'handling', 'large', 'rowdy', 'table']",Server great job handling large rowdy table,,positive,server great job handl larg rowdi tabl,,great ,
"I find wasting food to be despicable, but this just wasn't food.",0,"['I', 'find', 'wasting', 'food', 'despicable', 'wasnt', 'food']",find wasting food despicable wasnt food,,neutral,i find wast food despic wasnt food,,,
My wife had the Lobster Bisque soup which was lukewarm.,0,"['My', 'wife', 'Lobster', 'Bisque', 'soup', 'lukewarm']",My wife Lobster Bisque soup lukewarm,,neutral,my wife lobster bisqu soup lukewarm,,,
Would come back again if I had a sushi craving while in Vegas.,1,"['Would', 'come', 'back', 'I', 'sushi', 'craving', 'Vegas']",Would come back  sushi craving Vegas,,neutral,would come back i sushi crave vega,,,
"The staff are great, the ambiance is great.",1,"['The', 'staff', 'great', 'ambiance', 'great']",The staff great ambiance great,,positive,the staff great ambianc great,,great great ,
He deserves 5 stars.,1,"['He', 'deserves', '5', 'stars']",He deserves  stars,,neutral,he deserv 5 star,,,
I left with a stomach ache and felt sick the rest of the day.,0,"['I', 'left', 'stomach', 'ache', 'felt', 'sick', 'rest', 'day']",left stomach ache felt sick rest day,,negative,i left stomach ach felt sick rest day,,,sick 
They dropped more than the ball.,0,"['They', 'dropped', 'ball']",They dropped ball,,positive,they drop ball,,,
"The dining space is tiny, but elegantly decorated and comfortable.",1,"['The', 'dining', 'space', 'tiny', 'elegantly', 'decorated', 'comfortable']",The dining space tiny elegantly decorated comfortable,,positive,the dine space tini elegantli decor comfort,comfort ,,
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,"['They', 'customize', 'order', 'way', 'youd', 'like', 'usual', 'Eggplant', 'Green', 'Bean', 'stir', 'fry', 'love']",They customize order way youd like usual Eggplant Green Bean stir fry love,,positive,they custom order way youd like usual eggplant green bean stir fri love,,,
And the beans and rice were mediocre at best.,0,"['And', 'beans', 'rice', 'mediocre', 'best']",And beans rice mediocre best,,positive,and bean rice mediocr best,mediocr ,,
Best tacos in town by far!!,1,"['Best', 'tacos', 'town', 'far']",Best tacos town far,,positive,best taco town far,,,
I took back my money and got outta there.,0,"['I', 'took', 'back', 'money', 'got', 'outta']",took back money got outta,,neutral,i took back money got outta,,,
"In an interesting part of town, this place is amazing.",1,"['In', 'interesting', 'part', 'town', 'place', 'amazing']",In interesting part town place amazing,,positive,in interest part town place amaz,,,amaz 
RUDE & INCONSIDERATE MANAGEMENT.,0,"['RUDE', 'INCONSIDERATE', 'MANAGEMENT']",,,negative,rude inconsider manag,,rude inconsider ,
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,"['The', 'staff', 'not', 'friendly', 'wait', 'times', 'served', 'horrible', 'no', 'one', 'even', 'says', 'hi', 'first', '10', 'minutes']",The staff not friendly wait times served horrible no one even says hi first  minutes,,negative,the staff not friendli wait time serv horribl no one even say hi first 10 minut,,wait time ,
I won't be back.,0,"['I', 'wont', 'back']",wont back,,neutral,i wont back,,,
They have great dinners.,1,"['They', 'great', 'dinners']",They great dinners,,positive,they great dinner,,great ,
The service was outshining & I definitely recommend the Halibut.,1,"['The', 'service', 'outshining', 'I', 'definitely', 'recommend', 'Halibut']",The service outshining  definitely recommend Halibut,,neutral,the servic outshin i definit recommend halibut,,,recommend 
The food was terrible.,0,"['The', 'food', 'terrible']",The food terrible,,negative,the food terribl,,,
